phen_name	herb_name
Muscle Rigidity	Ranunculus cantoniensis
Muscle Rigidity	Benincasa hispida
Muscle Rigidity	Potentilla kleiniana
Muscle Rigidity	Hypericum ascyron
Muscle Rigidity	Maclura tricuspidata
Muscle Rigidity	Equus asinus
Muscle Rigidity	Iris pallasii
Muscle Rigidity	Plectranthias japonicus
Muscle Rigidity	Ranunculus japonicus
Muscle Rigidity	Sedum bulbiferum
Muscle Rigidity	Erigeron annuus
Muscle Rigidity	Justicia procumbens
Muscle Rigidity	Centipeda minima
Muscle Rigidity	Ferula fukanensis
Muscle Rigidity	Ferula sinkiangensis
Muscle Rigidity	Iris koreana
Muscle Rigidity	Iris odaesanensis
Muscle Rigidity	Iris rossii
Muscle Rigidity	Podoscypha parvula
Muscle Rigidity	Boletus pinetorum
Muscle Rigidity	Olea
Muscle Rigidity	Cacaoporus tenebrosus
Muscle Rigidity	Ficus religiosa
Muscle Rigidity	Camellia sinensis
Bradykinesia	Podoscypha parvula
Bradykinesia	Boletus pinetorum
Bradykinesia	Russula siamensis
Bradykinesia	Fraxinus ornus
Bradykinesia	Oncophorus integerrimus
Bradykinesia	Solanum tuberosum
Bradykinesia	Morinda citrifolia
Dyskinetic syndrome	Radix
Dyskinetic syndrome	Caryota no
Dyskinetic syndrome	Senna
Dyskinetic syndrome	Arachis hypogaea
Dyskinetic syndrome	Cortinarius chrysomallus
Dyskinetic syndrome	Kalanchoe
Dyskinetic syndrome	Chlamydomonas reinhardtii
Dyskinetic syndrome	Samanea
Dyskinetic syndrome	Campanula rotata
Dyskinetic syndrome	Nicotiana benthamiana
Dyskinetic syndrome	Solanum lycopersicum
Dyskinetic syndrome	Boletus pinetorum
Dyskinetic syndrome	Malus domestica
Dyskinetic syndrome	Daucus carota
Dyskinetic syndrome	Arabidopsis thaliana
Dyskinetic syndrome	Pistacia lentiscus
Dyskinetic syndrome	Prunus dulcis
Dyskinetic syndrome	Iris
Dyskinetic syndrome	Solanum tuberosum
Dyskinetic syndrome	Malva neglecta
Dyskinetic syndrome	Oncophorus integerrimus
Dyskinetic syndrome	Nerium oleander
Dyskinetic syndrome	Facelis
Dyskinetic syndrome	Prospero
Dyskinetic syndrome	Helianthus annuus
Dyskinetic syndrome	Helianthus
Dyskinetic syndrome	Withania somnifera
Dyskinetic syndrome	Nicotiana tabacum
Dyskinetic syndrome	Mentha spicata
Dyskinetic syndrome	Carica papaya
Dyskinetic syndrome	Atropa belladonna
Dyskinetic syndrome	Euphorbia paralias
Dyskinetic syndrome	Bidens bipinnata
Dyskinetic syndrome	Russula katarinae
Dyskinetic syndrome	Convolvulus fatmensis
Dyskinetic syndrome	Schouwia thebaica
Dyskinetic syndrome	Plantago major
Dyskinetic syndrome	Pluteus multiformis
Dyskinetic syndrome	Azadirachta indica
Dyskinetic syndrome	Lepiota himalayensis
Dyskinetic syndrome	Vachellia farnesiana
Dyskinetic syndrome	Prosopis glandulosa
Dyskinetic syndrome	Albizia
Dyskinetic syndrome	Hordeum vulgare
Dyskinetic syndrome	Origanum syriacum
Dyskinetic syndrome	Vitis vinifera
Dyskinetic syndrome	Mimosa pudica
Dyskinetic syndrome	Samanea saman
Dyskinetic syndrome	Cannabis sativa
Dyskinetic syndrome	Melia azedarach
Dyskinetic syndrome	Ilex paraguariensis
